,Company,Amount
0,ISGEC.NS,984900
0,CEATLTD.NS,144384
0,ARVINDFASN.NS,37761
0,HCG.NS,183748
0,DHANI.NS,11154115
0,IRCON.NS,1375275
0,TARSONS.NS,222626
0,KARURVYSYA.NS,529410
0,MAHSEAMLES.NS,1471288
0,STARCEMENT.NS,229026
0,GPPL.NS,61604334
0,VAKRANGEE.NS,14325
0,CSBBANK.NS,73953
0,AMIORG.NS,25312
0,DATAPATTNS.NS,377344
0,HGINFRA.NS,504972
0,MAHLOG.NS,332517
0,SUDARSCHEM.NS,289962
0,ENGINERSIN.NS,1420497
0,RATEGAIN.NS,17520
0,NCC.NS,5525105
0,DHAMPURSUG.NS,426642
0,DBL.NS,152295
0,SANSERA.NS,78431
0,RUPA.NS,28035
0,INDOCO.NS,1680
0,SHILPAMED.NS,29403
0,ASTEC.NS,72748
0,ROLEXRINGS.NS,316448
0,SEAMECLTD.NS,42921
0,PAISALO.NS,66420
0,DHANUKA.NS,4134
0,GATEWAY.NS,57015
0,SEQUENT.NS,72124
0,HEMIPROP.NS,81774
0,NEWGEN.NS,208593
0,ITDC.NS,43904
0,TATASTLLP.NS,762840
0,KSCL.NS,241775
0,AHLUCONT.NS,4293
0,ADVENZYMES.NS,55400
0,ICIL.NS,119210
0,INDIAGLYCO.NS,59220
0,DOLLAR.NS,135360
0,TEGA.NS,985150
0,HSCL.NS,680940
0,STAR.NS,211904
0,MIDHANI.NS,61908
0,IPL.NS,5994
0,HATHWAY.NS,303270
0,NILKAMAL.NS,944684
0,VENKEYS.NS,2083536
0,J&KBANK.NS,420240
0,DISHTV.NS,587376
0,ARVIND.NS,70716
0,RSYSTEMS.NS,486
0,HIL.NS,63232
0,RELINFRA.NS,2248027
0,MASFIN.NS,7461
0,ORIENTCEM.NS,788799
0,HINDOILEXP.NS,382850
0,DCAL.NS,46110
0,SAGCEM.NS,7062
0,JKTYRE.NS,1073065
0,JINDALSAW.NS,1154232
0,RTNPOWER.NS,19071
0,ACE.NS,1495125
0,FILATEX.NS,407560
0,SCHNEIDER.NS,561660
0,TIPSINDLTD.NS,0
0,TASTYBITE.NS,495558
0,SOMANYCERA.NS,123202
0,OPTIEMUS.NS,618198
0,PFOCUS.NS,75702
0,TECHNOE.NS,162564
0,TIRUMALCHM.NS,60031
0,RAILTEL.NS,1240580
0,CARTRADE.NS,1506816
0,GREENPLY.NS,104942
0,IIFLSEC.NS,434
0,DODLA.NS,463500
0,MOL.NS,708540
0,RAJRATAN.NS,34232
0,INDOSTAR.NS,1963
0,NFL.NS,3556344
0,GRSE.NS,625300
0,THOMASCOOK.NS,0
0,AUTOAXLES.NS,1043610
0,UJJIVANSFB.NS,1554081
0,DBREALTY.NS,37881
0,EKC.NS,623546
0,KIRIINDUS.NS,1564948
0,PURVA.NS,74562
0,SSWL.NS,2458649
0,ANANDRATHI.NS,333704
